Post Date,Description,Amount
07/01/2026,GroupRB:SEO Tools (Ubersuggest) - Gratitude and Growth Counseling LLC,-6.00
07/01/2026,Invoice #22205 - Gratitude and Growth Counseling LLC,99.00
07/01/2026,Invoice #22206 - Andy Studer Therapy,99.00
08/01/2026,GroupRB:Bank Fees - Andy Studer Therapy,-3.00
08/01/2026,GroupRB:Bank Fees - Gratitude and Growth Counseling LLC,-3.00
08/01/2026,GroupRB:Hosting - Andy Studer Therapy,-10.00
08/01/2026,GroupRB:Hosting - Gratitude and Growth Counseling LLC,-10.00
08/01/2026,GroupRB:SEO Tools (Seobility) - Andy Studer Therapy,-5.00
08/01/2026,GroupRB:SEO Tools (Seobility) - Gratitude and Growth Counseling LLC,-5.00
08/01/2026,GroupRB:SEO Tools (Ubersuggest) - Andy Studer Therapy,-6.00
08/01/2026,GroupRB:SEO Tools (Ubersuggest) - Gratitude and Growth Counseling LLC,-6.00
08/05/2026,Invoice #22209 - Andy Studer Therapy,99.00
08/05/2026,Invoice #22210 - Gratitude and Growth Counseling LLC,99.00
08/05/2026,"Invoice #22211 - Guidance Through Grief Counseling Center, PLLC",99.00
09/01/2026,GroupRB:Bank Fees - Andy Studer Therapy,-3.00
09/01/2026,GroupRB:Bank Fees - Gratitude and Growth Counseling LLC,-3.00
09/01/2026,"GroupRB:Bank Fees - Guidance Through Grief Counseling Center, PLLC",-3.00
09/01/2026,GroupRB:Hosting - Andy Studer Therapy,-10.00
09/01/2026,GroupRB:Hosting - Gratitude and Growth Counseling LLC,-10.00
09/01/2026,"GroupRB:Hosting - Guidance Through Grief Counseling Center, PLLC",-10.00
09/01/2026,GroupRB:SEO Tools (Seobility) - Andy Studer Therapy,-5.00
09/01/2026,GroupRB:SEO Tools (Seobility) - Gratitude and Growth Counseling LLC,-5.00
09/01/2026,GroupRB:SEO Tools (Ubersuggest) - Andy Studer Therapy,-6.00
09/01/2026,GroupRB:SEO Tools (Ubersuggest) - Gratitude and Growth Counseling LLC,-6.00
